source;date;rating;text
review;2025-08-10;5;Summit belt bag carried my life through a music festival and a 10k in the same weekend.
review;2024-06-09;3;Eight days to refund my Latitude jacket. Within their stated window, outside my patience. The jacket I swapped to is great, for what it is worth.
review;2025-07-20;2;Bought two sizes of the Form bra to try, returned one, standard practice everywhere. Relay flagged my account for high return rate after literally one return. The email was insulting.
review;2025-06-14;2;The label they emailed expired before I could use it because I was traveling. Getting a new label issued took two support contacts and four days. Labels should not expire in two weeks.
review;2025-11-08;5;fleece zipper is chunky and satisfying. pockets are deep. what more do you want.
review;2025-03-07;5;i did the math and i've bought 31 relay items. all 31 still in use. unheard of
review;2025-09-23;1;My December order arrived in mid January. No expedited reshipping offered, no credit, just a sorry for the delay template. After eight years of loyalty that template hurt more than the delay.
review;2024-02-24;2;my daughter saved up for the checkpoint legging in december. backordered. it arrived in late january after the gift moment had long passed. great pants, terrible memory.
review;2025-09-08;;the checkpoint waistband pocket fits a hotel key card, a lip balm, and a $20. that's a whole night out in one waistband just saying
review;2025-06-28;3;App store says the latest update fixed stability issues. It also relocated my order history, reset my notification preferences, and forgot my size profile. Stable, sure. Stable like a horse that bites.
review;2025-11-24;1;Tracking stuck on arrived at facility for 6 days. Chat support copy-pasted the same answer twice. I could have run the package here from Boulder faster.
review;2024-01-25;2;Sized up per the reviews and the Momentum Short still fit tight in the thigh. The fabric is beautiful. The fit chart is fiction.
review;2025-11-11;2;Wanted to swap a size. Spent 40 minutes between the returns portal and chat to learn that swapping doesn't exist, only returning and rebuying. In 2025? Really?
review;2025-08-08;5;I'm a mail sorter on overnight shifts and the Daily Tee keeps up with 8 hours of lifting and reaching in a warehouse that can't decide on a temperature. Five shirts deep now.
review;2025-06-23;5;The Momentum Short has pockets deep enough that my phone has never once ejected during box jumps. My old shorts launched a phone into a stranger's squat rack. Never again. Never forget. lol
review;2025-01-21;2;Promo code box disappears on mobile checkout when the keyboard opens. Typed my code blind, got it wrong twice, gave up and paid full price.
review;2025-03-09;;honestly Transit Jogger waistband is the most comfortable thing to ever touch my body. Sorry to my cat.
review;2025-04-12;;Flow tank, lovely. Arrived with a tiny pull in the fabric. Kept it because returning was more hassle than it was worth. Three stars.
